mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
0.3,"6km WNW of Cobb, CA",1669852609560,1669858814459,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73813271,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73813271&format=geojson,,,,,reviewed,0,1,nc,73813271,",nc73813271,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",5.0,0.003242,0.01,119.0,md,earthquake,"M 0.3 - 6km WNW of Cobb, CA"
0.8,"20 km WNW of Tatitlek, Alaska",1669852590980,1669859619642,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022fcriwxh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022fcriwxh&format=geojson,,,,,reviewed,0,10,ak,022fcriwxh,",ak022fcriwxh,",",ak,",",origin,phase-data,",,,0.46,,ml,earthquake,"M 0.8 - 20 km WNW of Tatitlek, Alaska"
0.4,"87 km NNW of Karluk, Alaska",1669852053668,1669872363180,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022fcrh13q,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022fcrh13q&format=geojson,,,,,automatic,0,2,ak,022fcrh13q,",av91724361,ak022fcrh13q,",",av,ak,",",origin,phase-data,",,,0.25,,ml,earthquake,"M 0.4 - 87 km NNW of Karluk, Alaska"
-0.5,Alaska Peninsula,1669851240520,1669872664740,,https://earthquake.usgs.gov/earthquakes/eventpage/av91724346,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91724346&format=geojson,,,,,reviewed,0,0,av,91724346,",av91724346,",",av,",",origin,phase-data,",4.0,,0.06,158.0,ml,earthquake,M -0.5 - Alaska Peninsula
-0.17,"7km NW of The Geysers, CA",1669850830940,1669857074354,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73813266,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73813266&format=geojson,,,,,reviewed,0,0,nc,73813266,",nc73813266,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.003119,0.02,63.0,md,earthquake,"M -0.2 - 7km NW of The Geysers, CA"
1.4,"11 km WNW of Point MacKenzie, Alaska",1669850627235,1669850769073,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022fcrbwyr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022fcrbwyr&format=geojson,,,,,automatic,0,30,ak,022fcrbwyr,",ak022fcrbwyr,",",ak,",",origin,phase-data,",,,0.67,,ml,earthquake,"M 1.4 - 11 km WNW of Point MacKenzie, Alaska"
1.78,"13km SE of Lake Pillsbury, CA",1669850437660,1669927930425,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73813261,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73813261&format=geojson,,,,,reviewed,0,49,nc,73813261,",nc73813261,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",12.0,,0.07,155.0,md,earthquake,"M 1.8 - 13km SE of Lake Pillsbury, CA"
-0.25,"80 km ENE of Port Alsworth, Alaska",1669850222930,1669872800860,,https://earthquake.usgs.gov/earthquakes/eventpage/av91724336,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91724336&format=geojson,,,,,reviewed,0,0,av,91724336,",av91724336,",",av,",",origin,phase-data,",5.0,,0.17,270.0,ml,earthquake,"M -0.3 - 80 km ENE of Port Alsworth, Alaska"
1.15,"7km NW of The Geysers, CA",1669849853810,1669870513670,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73813256,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73813256&format=geojson,,,,,reviewed,0,20,nc,73813256,",nc73813256,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",39.0,0.001146,0.03,38.0,md,earthquake,"M 1.2 - 7km NW of The Geysers, CA"
1.2,"8 km W of Susitna North, Alaska",1669849796083,1669849887126,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022fcr8xmg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022fcr8xmg&format=geojson,,,,,automatic,0,22,ak,022fcr8xmg,",ak022fcr8xmg,",",ak,",",origin,phase-data,",,,0.28,,ml,earthquake,"M 1.2 - 8 km W of Susitna North, Alaska"
1.5,"40 km NW of Willow, Alaska",1669849441400,1669849562939,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022fcr7qto,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022fcr7qto&format=geojson,,,,,automatic,0,35,ak,022fcr7qto,",ak022fcr7qto,",",ak,",",origin,phase-data,",,,0.65,,ml,earthquake,"M 1.5 - 40 km NW of Willow, Alaska"
1.96000004,,1669848512260,1669848704270,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73247927,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73247927&format=geojson,,,,,automatic,0,59,hv,73247927,",hv73247927,",",hv,",",origin,phase-data,",35.0,,0.119999997,129.0,md,earthquake,M 2.0 - 
1.6,Southern Alaska,1669848293509,1669848410445,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022fcquzvq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022fcquzvq&format=geojson,,,,,automatic,0,39,ak,022fcquzvq,",ak022fcquzvq,",",ak,",",origin,phase-data,",,,0.83,,ml,earthquake,M 1.6 - Southern Alaska
0.93,"14km ESE of Anza, CA",1669848255300,1669908413596,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382872,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382872&format=geojson,,,,,reviewed,0,13,ci,40382872,",ci40382872,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",38.0,0.04968,0.15,51.0,ml,earthquake,"M 0.9 - 14km ESE of Anza, CA"
4.6,Philippine Islands region,1669847436568,1669848920040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000j5w0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000j5w0&format=geojson,,,,,reviewed,0,326,us,6000j5w0,",us6000j5w0,",",us,",",origin,phase-data,",68.0,2.15,0.59,108.0,mb,earthquake,M 4.6 - Philippine Islands region
0.28,"2km NNE of The Geysers, CA",1669847075050,1669881853763,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73813251,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73813251&format=geojson,,,,,reviewed,0,1,nc,73813251,",nc73813251,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.01221,0.02,91.0,md,earthquake,"M 0.3 - 2km NNE of The Geysers, CA"
-0.21,"86 km NNW of Karluk, Alaska",1669846928740,1669871874300,,https://earthquake.usgs.gov/earthquakes/eventpage/av91078158,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91078158&format=geojson,,,,,reviewed,0,0,av,91078158,",av91078158,",",av,",",origin,phase-data,",6.0,,0.07,149.0,ml,earthquake,"M -0.2 - 86 km NNW of Karluk, Alaska"
4.2,"40 km NE of Bandar-e Lengeh, Iran",1669846773479,1669849842040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000j5vx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000j5vx&format=geojson,,,,,reviewed,0,271,us,6000j5vx,",us6000j5vx,",",us,",",origin,phase-data,",45.0,2.054,0.7,98.0,mb,earthquake,"M 4.2 - 40 km NE of Bandar-e Lengeh, Iran"
0.8,"16 km ENE of Willow Creek, Alaska",1669846472799,1669851193547,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022fcqohfh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022fcqohfh&format=geojson,,,,,reviewed,0,10,ak,022fcqohfh,",ak022fcqohfh,",",ak,",",origin,phase-data,",,,0.34,,ml,earthquake,"M 0.8 - 16 km ENE of Willow Creek, Alaska"
1.82000005,"8 km ENE of P?hala, Hawaii",1669846355170,1669846545760,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73247842,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73247842&format=geojson,,,,,automatic,0,51,hv,73247842,",hv73247842,",",hv,",",origin,phase-data,",28.0,,0.100000001,162.0,md,earthquake,"M 1.8 - 8 km ENE of P?hala, Hawaii"
0.57,"24 km SSW of Mammoth, Wyoming",1669846071040,1669850217640,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60032244,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60032244&format=geojson,,,,,reviewed,0,5,uu,60032244,",uu60032244,",",uu,",",origin,phase-data,",6.0,0.02959,0.16,175.0,md,earthquake,"M 0.6 - 24 km SSW of Mammoth, Wyoming"
0.34,"23 km SSW of Mammoth, Wyoming",1669846063370,1669850154220,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60526707,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60526707&format=geojson,,,,,reviewed,0,2,uu,60526707,",uu60526707,",",uu,",",origin,phase-data,",6.0,0.02669,0.07,197.0,md,earthquake,"M 0.3 - 23 km SSW of Mammoth, Wyoming"
1.02,"20km E of Little Lake, CA",1669845619230,1669847921523,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382856,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382856&format=geojson,,,,,reviewed,0,16,ci,40382856,",ci40382856,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",17.0,0.07756,0.08,76.0,ml,earthquake,"M 1.0 - 20km E of Little Lake, CA"
0.29,"10km WNW of The Geysers, CA",1669845505930,1669848312406,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73813246,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73813246&format=geojson,,,,,automatic,0,1,nc,73813246,",nc73813246,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.001828,0.03,67.0,md,earthquake,"M 0.3 - 10km WNW of The Geysers, CA"
1.27,,1669845289630,1669937903322,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022xmbx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022xmbx&format=geojson,,,,,reviewed,0,25,ok,2022xmbx,",ok2022xmbx,",",ok,",",origin,phase-data,",21.0,0.3644284867,0.36,107.0,ml,quarry blast,M 1.3 Quarry Blast - 
1.14,"92 km W of Adak, Alaska",1669845004820,1669871250480,,https://earthquake.usgs.gov/earthquakes/eventpage/av91724316,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91724316&format=geojson,,,,,reviewed,0,20,av,91724316,",av91724316,",",av,",",origin,phase-data,",6.0,,0.18,122.0,ml,earthquake,"M 1.1 - 92 km W of Adak, Alaska"
1.17,"8km S of Acton, CA",1669844960520,1669847755297,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382848,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382848&format=geojson,,,,,reviewed,0,21,ci,40382848,",ci40382848,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.09959,0.2,91.0,ml,quarry blast,"M 1.2 Quarry Blast - 8km S of Acton, CA"
1.47,"4km NNE of Glen Ellen, CA",1669844720780,1669880084379,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73813241,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73813241&format=geojson,,,,,reviewed,0,33,nc,73813241,",nc73813241,",",nc,",",nearby-cities,origin,phase-data,",13.0,0.07072,0.12,93.0,md,quarry blast,"M 1.5 Quarry Blast - 4km NNE of Glen Ellen, CA"
2.23000002,"0 km SW of P?hala, Hawaii",1669843449450,1669843650280,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73247752,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73247752&format=geojson,,,,,automatic,0,77,hv,73247752,",hv73247752,",",hv,",",origin,phase-data,",40.0,,0.119999997,144.0,md,earthquake,"M 2.2 - 0 km SW of P?hala, Hawaii"
0.76,"7 km E of Millville, Utah",1669843072490,1669846272170,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60526702,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60526702&format=geojson,,,,,reviewed,0,9,uu,60526702,",uu60526702,",",uu,",",origin,phase-data,",10.0,0.1044,0.07,129.0,md,earthquake,"M 0.8 - 7 km E of Millville, Utah"
0.64,"8km WNW of Anza, CA",1669842618020,1669847530272,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382840,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382840&format=geojson,,,,,reviewed,0,6,ci,40382840,",ci40382840,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.01568,0.07,84.0,ml,earthquake,"M 0.6 - 8km WNW of Anza, CA"
1.9,Central Alaska,1669842512907,1669842610754,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022fcq1swq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022fcq1swq&format=geojson,,,,,automatic,0,56,ak,022fcq1swq,",ak022fcq1swq,",",ak,",",origin,phase-data,",,,0.56,,ml,earthquake,M 1.9 - Central Alaska
